Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.16.0.1-192.168.10.50-37156-80-6,172.16.0.1,37156,192.168.10.50,80,6,5/7/2017 10:48,98487038,7,6,346,11595.0,346,0,49.42857143,130.7757077,4344,0,1932.5,1977.812908,121.2443814,0.131997065,8207253.167,28400000.0,98500000.0,0.0,98500000.0,16400000.0,40200000.0,98500000.0,0.0,27742.0,5548.4,8467.71925,19401.0,55.0,0,0,0,0,232,200,0.071075343,0.060921723,0,4344,852.9285714,1566.499108,2453919.456,0,0,0,0,1,0,0,0,0,918.5384615,49.42857143,1932.5,232,0,0,0,0,0,0,7,346,6,11595,274,235,1,32,968.0,0.0,968.0,968.0,98500000.0,0.0,98500000.0,98500000.0,DoS Hulk
172.16.0.1-192.168.10.50-37160-80-6,172.16.0.1,37160,192.168.10.50,80,6,5/7/2017 10:48,98690731,7,4,323,11595.0,323,0,46.14285714,122.0825248,5803,0,2898.75,3347.191198,120.7610875,0.111459302,9869073.1,31200000.0,98700000.0,1.0,98700000.0,16400000.0,40300000.0,98700000.0,1.0,26366.0,8788.666667,10334.14788,20240.0,157.0,0,0,0,0,232,136,0.070928647,0.040530655,0,5803,993.1666667,2246.003353,5044531.061,0,0,0,0,1,0,0,0,0,1083.454545,46.14285714,2898.75,232,0,0,0,0,0,0,7,323,4,11595,251,235,1,32,981.0,0.0,981.0,981.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37158-80-6,172.16.0.1,37158,192.168.10.50,80,6,5/7/2017 10:48,98693656,5,5,307,11595.0,295,0,61.4,130.6208253,10147,0,2319.0,4420.67608,120.5953907,0.101323635,11000000.0,32900000.0,98700000.0,5.0,98700000.0,24700000.0,49300000.0,98700000.0,5.0,98700000.0,24700000.0,49300000.0,98700000.0,196.0,0,0,0,0,144,168,0.050661818,0.050661818,0,10147,1082.545455,3037.342502,9225449.473,1,0,0,0,0,0,0,0,1,1190.8,61.4,2319.0,144,0,0,0,0,0,0,5,307,5,11595,0,235,2,20,11988.0,0.0,11988.0,11988.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
192.168.10.1-192.168.10.3-53-61513-17,192.168.10.3,61513,192.168.10.1,53,17,5/7/2017 10:41,36583495,2,2,97,292.0,54,43,48.5,7.778174593,160,132,146.0,19.79898987,10.63321041,0.109338925,12200000.0,21000000.0,36400000.0,60932.0,36500000.0,36500000.0,0.0,36500000.0,36500000.0,36500000.0,36500000.0,0.0,36500000.0,36500000.0,0,0,0,0,52,52,0.054669462,0.054669462,43,160,86.4,55.48242965,3078.3,0,0,0,0,0,0,0,0,1,108.0,48.5,146.0,52,0,0,0,0,0,0,2,97,2,292,-1,-1,1,20,130535.0,0.0,130535.0,130535.0,36400000.0,0.0,36400000.0,36400000.0,BENIGN
172.16.0.1-192.168.10.50-37164-80-6,172.16.0.1,37164,192.168.10.50,80,6,5/7/2017 10:48,98692829,7,6,322,11595.0,322,0,46.0,121.7045603,5792,0,1932.5,2181.008184,120.7483879,0.13172183,8224402.417,28500000.0,98700000.0,4.0,98700000.0,16400000.0,40300000.0,98700000.0,4.0,27434.0,5486.8,7616.517951,16230.0,47.0,0,0,0,0,232,200,0.070927139,0.060794691,0,5792,851.2142857,1667.588871,2780852.643,0,0,0,0,1,0,0,0,0,916.6923077,46.0,1932.5,232,0,0,0,0,0,0,7,322,6,11595,274,235,1,32,999.0,0.0,999.0,999.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37166-80-6,172.16.0.1,37166,192.168.10.50,80,6,5/7/2017 10:48,98693792,5,7,411,11595.0,399,0,82.2,177.1219919,4344,0,1656.428571,1760.597234,121.6489888,0.121588195,8972162.909,29700000.0,98700000.0,16.0,98700000.0,24700000.0,49300000.0,98700000.0,979.0,98700000.0,16400000.0,40300000.0,98700000.0,16.0,0,0,0,0,144,232,0.050661748,0.070926447,0,4344,924.0,1496.237671,2238727.167,1,0,0,0,0,0,0,0,1,1001.0,82.2,1656.428571,144,0,0,0,0,0,0,5,411,7,11595,0,235,2,20,11007.0,0.0,11007.0,11007.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-37168-80-6,172.16.0.1,37168,192.168.10.50,80,6,5/7/2017 10:48,98702971,6,8,392,11595.0,374,0,65.33333333,151.2437327,5792,0,1449.375,2046.673464,121.4451792,0.141839702,7592536.231,27400000.0,98700000.0,7.0,98700000.0,19700000.0,44100000.0,98700000.0,7.0,98700000.0,14100000.0,37300000.0,98700000.0,44.0,0,0,0,0,164,264,0.060788444,0.081051258,0,5792,799.5333333,1618.615496,2619916.124,1,0,0,0,0,0,0,0,1,856.6428571,65.33333333,1449.375,164,0,0,0,0,0,0,6,392,8,11595,0,235,3,20,11991.0,0.0,11991.0,11991.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
172.16.0.1-192.168.10.50-54172-80-6,192.168.10.50,80,172.16.0.1,54172,6,5/7/2017 10:48,100018487,6,5,11595,331.0,5792,0,1932.5,2365.476337,319,0,66.2,141.3513353,119.2379565,0.109979668,10000000.0,31600000.0,99900000.0,12.0,100000000.0,20000000.0,44700000.0,99900000.0,51.0,99900000.0,25000000.0,49900000.0,99900000.0,1045.0,0,0,0,0,200,144,0.05998891,0.049990758,0,5792,993.8333333,1874.084156,3512191.424,0,0,0,0,1,0,0,0,0,1084.181818,1932.5,66.2,200,0,0,0,0,0,0,6,11595,5,331,235,229,3,32,9805.0,0.0,9805.0,9805.0,99900000.0,0.0,99900000.0,99900000.0,BENIGN
172.16.0.1-192.168.10.50-37170-80-6,172.16.0.1,37170,192.168.10.50,80,6,5/7/2017 10:48,98702715,8,5,325,11595.0,325,0,40.625,114.9048519,10136,0,2319.0,4414.366206,120.7666881,0.131708636,8225226.25,28500000.0,98700000.0,1.0,98700000.0,14100000.0,37300000.0,98700000.0,1.0,38374.0,9593.5,13131.54488,27986.0,83.0,0,0,0,0,264,168,0.081051469,0.050657168,0,10136,851.4285714,2700.312196,7291685.956,0,0,0,0,1,0,0,0,0,916.9230769,40.625,2319.0,264,0,0,0,0,0,0,8,325,5,11595,251,235,1,32,966.0,0.0,966.0,966.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk
192.168.10.3-192.168.10.14-53-54559-17,192.168.10.14,54559,192.168.10.3,53,17,5/7/2017 10:09,155,2,2,98,130.0,49,49,49.0,0.0,65,65,65.0,0.0,1470967.742,25806.45161,51.66666667,84.2931393,149.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,12903.22581,12903.22581,49,65,55.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,69.25,49.0,65.0,40,0,0,0,0,0,0,2,98,2,130,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
